Название,Цена,Описание,Расположение,Создано,Ссылка
Видеокарта asus GeForce GTX 1060 3GB,9000,"Продам видеокарту Asus geforce Gtx 1060 3 ГБ. Куплена с рук 2 года назад, но все эти 2 года работала без проблем. Состояние очень хорошее. Имеет режим полной остановки вентиляторов 0db, поэтому большую часть времени совершенно бесшумная. Компьютер уже продала отдельно, поэтому проверять не на чем. Но с ней точно всё в порядке. Без торга. Пишите.",Московская,7 часов назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_asus_geforce_gtx_1060_3gb_2470132658
Видеокарта gtx 1060 3gb asus,9000,"Продаю свою видеокарту так как хочу купить мощнее. Использовал три года для игр и кино, не майнилась, с ней всё хорошо, не вскрывалась. Стресс тест проходит. Цена окончательная, без обмена.",Площадь Восстания,1 день назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gtx_1060_3gb_asus_2487253336
Видеокарта gtx 1060 3gb Palit,9000,"Без торга. Продаю видеокарту Palit gtx 1060 3gb. Куплена была в Полюсе в 2018, стояла в домашнем компьютере, никаких проблем не было, не майнилась, не вскрывалась, все пломбы на месте. Полный комплект — карта, коробка, диск, чек. Причина продажи, купил себе 6700xt. Карта лежит в коробке, могу подвезти и проверить у вас в пределах Калининского и Выборгского района. Для остальных забрать можно на Академической, 1 день на проверку.",Академическая,3 дня назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gtx_1060_3gb_palit_2469997457
Asus gtx 1060 3gb,9000,"Продаю свою видеокарточку. Отличное средне бюджетный вариант. Отличное состояние, не майнилась, не перегревалась. Хорошая производительность на данный момент, тянет многие игрушки. Любые проверки, скину если надо тесты.",р-н Красносельский,1 неделю назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/asus_gtx_1060_3gb_2486304860
Видеокарта gtx 1060 3gb,9500,"Продаю видеокарту gtx 1060 на 3 гб, работает стабильно, без нареканий. Продаю в связи с переходом на gtx 1660 super. Могу встретиться с вами на проспекте Просвещения, Удельная, Озерки.",Проспект Просвещения,3 дня назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gtx_1060_3gb_2470013096
GTX 1060 3 GB,9500,Gtx 1060 3 GB. Любые проверки. Цена 9500. Без торга! Видеокарта с домашнего ПК!,Маяковская,4 дня назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/gtx_1060_3_gb_2497983792
Видеокарта Palit GeForce GTX 1060 Dual 3GB,9500,"Видеокарта Palit geforce® Gtx 1060 Dual 3GB. Полностью рабочая. Не после ремонта, не после майнинга, все пломбы на месте. Использовалась в течении 2 лет, для простых игр и повседневного использования. Причина продажи — приобрел более современную модель.",Проспект Ветеранов,3 недели назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_palit_geforce_gtx_1060_dual_3gb_2443590944
Видеокарта gigabyte gtx 1060 6gb,10000,,Колпино,28 минут назад,https://www.avito.ru/sankt-peterburg_kolpino/tovary_dlya_kompyutera/videokarta_gigabyte_gtx_1060_6gb_2451472103
Видеокарта GTX1060 3gb,9900,"Продам видеокарту Kfa2 Gtx1060 3gb. Стояла в рабочем компе, лайтрум\фотошоп. Работает без нареканий не греется. Продается в связи с апгрейдом.",Проспект Просвещения,9 часов назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gtx1060_3gb_2498275183
Видеокарта geforce gtx 1060 3gb,9900,"Продам свою видеокарту с домашнего ПК или рассмотрю обмен с моей доплатой. Использовалась для игр, любые проверки приветствуются. Продаю не спеша, пока есть интересующие меня варианты на авито.",Проспект Просвещения,5 дней назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_geforce_gtx_1060_3gb_2487013727
